Name;URL;Author;Price;Number of Ratings;Average Ratings
One Arranged Murder;https://www.amazon.in/One-Arranged-Murder-Chetan-Bhagat/dp/1542094135?_encoding=UTF8&psc=1;Chetan Bhagat;₹ 141.00;1,058;4.2 out of 5 stars
Think Like a Monk;https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595?_encoding=UTF8&psc=1;Jay Shetty;₹ 388.00;3,538;4.8 out of 5 stars
Ikigai: The Japanese secret to a long and happy life;https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X?_encoding=UTF8&psc=1;Héctor García;₹ 362.00;4,595;4.6 out of 5 stars
My First Library: Boxset of 10 Board Books for Kids;https://www.amazon.in/My-First-Library-Boxset-Board/dp/9387779262?_encoding=UTF8&psc=1;Not Available;₹ 499.00;6,993;4.5 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;₹ 199.00;27,748;4.6 out of 5 stars
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set;https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014?_encoding=UTF8&psc=1;Not Available;₹ 329.00;1,051;4.5 out of 5 stars
Harry Potter and the Chamber of Secrets;https://www.amazon.in/Harry-Potter-Chamber-Secrets-Rowling/dp/1408845652?_encoding=UTF8&psc=1;J.K. Rowling;₹ 1,154.00;12,510;4.7 out of 5 stars
A Brief History of Modern India (2019-2020 Edition) by  Spectrum Books;https://www.amazon.in/Brief-History-Modern-2019-2020-Spectrum/dp/8179307212?_encoding=UTF8&psc=1;Not Available;₹ 225.00;2,344;4.5 out of 5 stars
Attitude Is Everything: Change Your Attitude ... Change Your Life!;https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1;Jeff Keller;₹ 119.00;4,352;4.5 out of 5 stars
Oxford Student Atlas for India - Third Edition;https://www.amazon.in/Oxford-Student-Atlas-India-Third/dp/0190123281?_encoding=UTF8&psc=1;Not Available;₹ 219.00;1,566;4.6 out of 5 stars
The Tower of Nero (The Trials of Apollo Book 5);https://www.amazon.in/Tower-Nero-Trials-Apollo-Book/dp/0141364084?_encoding=UTF8&psc=1;Rick Riordan;₹ 534.00;792;4.9 out of 5 stars
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;₹ 141.00;13,657;4.4 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;₹ 530.00;6,244;4.4 out of 5 stars
Great Stories for Children;https://www.amazon.in/Great-Stories-Children-Ruskin-Bond/dp/8129118920?_encoding=UTF8&psc=1;Ruskin Bond;₹ 123.00;1,863;4.5 out of 5 stars
Grandma's Bag of Stories;https://www.amazon.in/Grandmas-Bag-Stories-Sudha-Murty/dp/0143333623?_encoding=UTF8&psc=1;Not Available;₹ 235.00;2,237;4.6 out of 5 stars
The Power of your Subconscious Mind;https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;₹ 90.00;19,659;4.5 out of 5 stars
CHEAT SHEET - SCIENCE & SOCIAL SCIENCE CLASS 10 BY BHAI KI PADHAI;https://www.amazon.in/CHEAT-SHEET-SCIENCE-SOCIAL-PADHAI/dp/B08KW9WBS1?_encoding=UTF8&psc=1;Not Available;₹ 969.00;20;4.8 out of 5 stars
Indian Polity - For Civil Services and Other State Examinations | 6th Edition;https://www.amazon.in/Indian-Polity-Civil-Services-Examinations/dp/B07Y3CJJCR?_encoding=UTF8&psc=1;M. Laxmikanth;₹ 660.00;3,470;4.6 out of 5 stars
Very First Sight Words Sentences Level - 1;https://www.amazon.in/First-Sight-Words-Sentences-Level/dp/9387971996?_encoding=UTF8&psc=1;Not Available;₹ 112.00;768;4.6 out of 5 stars
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;₹ 149.00;25,164;4.5 out of 5 stars
25 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995-2019);https://www.amazon.in/Prelims-Topic-wise-Solved-Papers-1995-2019/dp/9389187389?_encoding=UTF8&psc=1;Disha Experts;₹ 289.00;2,405;4.4 out of 5 stars
Picture Books Collection for Early Learning (Set of 12);https://www.amazon.in/Picture-Books-Collection-Early-Learning/dp/B01M0QGF0P?_encoding=UTF8&psc=1;Not Available;₹ 237.00;2,681;4.2 out of 5 stars
101 Panchatantra Stories;https://www.amazon.in/101-Panchatantra-Stories-Dreamland-Publications/dp/938797149X?_encoding=UTF8&psc=1;Dreamland Publications;₹ 119.00;1,861;4.3 out of 5 stars
Rich Dad Poor Dad : What The Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!;https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T. Kiyosaki;₹ 310.00;26,019;4.5 out of 5 stars
The Intelligent Investor (English) Paperback – 2013;https://www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1;Benjamin Graham;₹ 454.00;10,111;4.4 out of 5 stars
Wings of Fire: An Autobiography of Abdul Kalam;https://www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1;Not Available;₹ 182.00;4,539;4.6 out of 5 stars
The Blue Umbrella;https://www.amazon.in/Blue-Umbrella-Ruskin-Bond/dp/8171673406?_encoding=UTF8&psc=1;Ruskin Bond;₹ 76.00;2,112;4.5 out of 5 stars
General Knowledge;https://www.amazon.in/General-Knowledge-Dr-Binay-Karna/dp/9384761540?_encoding=UTF8&psc=1;Not Available;₹ 176.00;6,692;4.4 out of 5 stars
The Monk Who Sold His Ferrari;https://www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;₹ 156.00;8,168;4.6 out of 5 stars
