ddabdddcee hhhikkilkj wwzmwzmwmz
eecbdaaacb hihkijhlhh nxzwmxwwxw
dbeeebedbc hjhilhkiij zmznwzznmz
bdbbeeebad hkiiillkij xwwxnmzxmm
ebbcaaeedb iihihhlhki zzwxnnmwnz
cebeaaeeea iikkijklkl xwznzzxmwx
dedbbeccae iililjkhih wxzxwwxxnx
cddcceeacb ijhikhhkkh nmnzzwzzww
caadbbedad ijkkjikikk znzmwzxmwz
cccbcdadba iljllillkk nnmxzwxnzx
bedbaabadc jhkhiijklk mwzznzxxmz
aedcddabea jjljjijkli xxxwzmxxmn
adbdcabccc jkhhhhihlh nwnwnwznxm
cdeaaaecdd jkkhllhikk wxwmmnznzm
eaadbccdbe jliihlilhh zzmzxwwmmx
baadbbbaeb khlhhkllhi nxznxnwnzw
acecbbeddc kjljjjkhlh mmxwwwnxwm
dcccdcbacb klhjikhhji nwxxwnwxxw
acbdaaebbd lkijkhkhjl mmxxxwxxnz
dcbcbceeca lkjkjihiij wwnmwxxmzw
