Name,Latitude,Longitude
123 Arcom Heliport,40,-86
Abbeville County Memorial Hospital Heliport,34,-82
Knobel Heliport,28,-81
Heritage Manor South Heliport,40,-90
Nietz Airport,41,-84
Montreal / St-Lazare Airport,45,-74
Southwest General Hospital Heliport,41,-82
Sunbelt Strip,31,-84
Kennestone Heliport,34,-85
Petty Farms Airport,35,-85
St Lucie County International Airport,27,-80
Jana Airport,43,-89
Philip Sporn Plant Heliport,39,-82
Cecil County Airport,40,-76
Aventura Heliport,26,-80
Noveno Batallón Airport,14,-86
Gadsden Memorial Hospital Heliport,31,-85
Dow Chemical Heliport,44,-86
La Zampoña Airport,10,-85
Gordon Brown Airport,41,-90
M.P. Metals Heliport,41,-76
Beaufort MCAS - Merritt Field,32,-81
Defiance Regional Medical Center Heliport,41,-84
Hornepayne Seaplane Base,49,-85
Greenville Heliport,40,-76
Seeman Airport,41,-89
Sugar Hill Airport,39,-76
Brettuns Pond Seaplane Base,44,-70
Culver Airfield,42,-77
Anniston Metropolitan Airport,34,-86
Hagersville (West Haldimand General Hospital) Heli,43,-80
Sentara Norfolk General Hospital Heliport,37,-76
Chesapeake City Heliport,40,-76
Jett Airpark,38,-76
Schewe Airport,45,-89
George T Mc Cutchan Airport,31,-87
Pink Hill Airport,35,-78
Ny Arng Heliport,43,-74
Penman Airport,36,-90
Igoe Heliport,40,-88
Piedmont Hospital-Newnan Heliport,33,-85
Grafton City Hospital Heliport,39,-80
Covington-Vincent Airport,31,-90
Kabala Airport,10,-12
Ray Airport,35,-90
Firelands Community Hospital Nr 2 Heliport,41,-83
Marietta Memorial Hospital Heliport,39,-81
Seton Hall Heliport,41,-74
Tidjikja Airport,19,-11
Good Samaritan Hospital Heliport,39,-88
Minder Airport,40,-89
St Mary's Kewaunee Area Memorial Hospital Heliport,44,-88
Mount Vernon Airport,45,-70
Tobago-Crown Point Airport,11,-61
Emh Regional Medical Center Heliport,41,-82
Womble Field,36,-79
Wilderness Airpark,43,-86
Digby (General Hospital) Heliport,45,-66
Alderman Airport,40,-81
Jimani Airport,18,-72
Salsbery Airport,40,-86
Montreal / Les Cèdres Heliport,45,-74
Hamilton Medical Center Heliport,35,-85
1669 Diamondview Road Private Strip,45,-76
Moncton / McEwen Airport,46,-65
Markham Airport,42,-84
Cia Headquarters Heliport,39,-77
Blomenberg Airport,41,-85
Beckman Airport,42,-86
Bar River Seaplane Base,46,-84
Lakeview Regional Medical Center Heliport,30,-90
Ancient Oaks Airport,30,-83
DeKalb Peachtree Airport,34,-84
Grand Valley / Luther Field,44,-80
Hataway Field,31,-86
Mac Dill Air Force Base,28,-83
William P Gwinn Airport,27,-80
Bangs Heliport,42,-71
Northern Maine Regional Seaplane Base,47,-68
Society Hill At North Brunswick Heliport,40,-75
Lora Airport,21,-76
Washington Island Airport,45,-87
Sainte-Croix Airport,47,-72
Evergreen Fourchon Heliport,29,-90
Porto Santo Airport,33,-16
Henry County Medical Center Heliport,36,-88
Drummond Airport,39,-75
Pungo District Hospital Heliport,36,-77
Tête-à-la-Baleine Airport,51,-59
Spruce Airport,42,-72
Lake Ridge Aero Park Airport,36,-79
Methodist Lebonheur Healthcare Heliport,35,-90
Dileo Field,39,-76
Porta Target Heliport,28,-81
Bountiful Farm,43,-72
Sage Seadrome Seaplane Base,28,-81
Wychwood Field,41,-72
Flints Flying Ranch Airport,30,-83
Blackhawk Island Airport,43,-89
Stuntz & Hochstetler Pines Airport,41,-86
Crippen Field,43,-85
Grassy Pond Heliport,35,-82
Nuestra Señora del Socorro Airport,10,-68
Port Nelson Airstrip,24,-75
The Old Commonwealth Aerodrome,40,-76
Dow Jones Heliport,42,-73
Les Bases Airport,16,-61
Hca Raulerson Hospital Heliport,27,-81
Mayers Airport,38,-77
Lake Airport,41,-77
Laurie Field,42,-73
King Airport,38,-90
Los Sueños Heliport,10,-85
Snyder Office Heliport,41,-80
Lexington County At Pelion Airport,34,-81
Air Orlando Heliport,28,-81
Welland (County General Hospital) Heliport,43,-79
New Orleans Nas Jrb/Alvin Callender Field/ Airport,30,-90
Intervale Airport,43,-72
Belwood (Wright Field),44,-80
West End Airport,27,-79
Hanley Field,46,-87
Pascagoula Refinery Pad Nr 1 Heliport,30,-89
Sault Ste. Marie/Partridge Point Seaplane Base,47,-84
Ottawa (Children's Hospital) Heliport,45,-76
Belfair Airport,39,-76
S and C Echelon Heliport,40,-75
Schwartz Farms Inc Airport,27,-82
Richmond Airport,41,-72
Pembroke Airport,46,-77
Gideon Memorial Airport,36,-90
Dunbar Airport,41,-79
Thorshofn Airport,66,-15
Saint Louis Airport,16,-16
Juergensen Airpark and Maritime Facility Airport,40,-79
Propst Heliport,36,-81
St Augustine Airport,30,-81
Orange County Sheriff's Office Heliport,29,-81
Ashland Regional Airport,39,-83
Entwistle Airport,41,-89
Willow Island Airpark,38,-85
Opa-locka Executive Airport,26,-80
Reeroe Airport,52,-10
Sony Music Heliport,40,-75
Arnprior Airport,45,-76
Dearborn County Hospital Heliport,39,-85
Colle Field,30,-89
Davis Field,35,-83
Pine Hill Airport,43,-78
Silent Hill Airstrip,18,-77
Einholtsmelar Airport,64,-20
Eugenio Maria De Hostos Airport,18,-67
Whiteplains Airport,34,-81
Stella Maris Airport,24,-75
Ste-Julienne Airport,46,-74
Northumberland County Airport,41,-77
Hawkinsville Pulaski County Airport,32,-83
Myricks Airport,42,-71
Van Buren Seaplane Base,47,-68
Boonville Airport,36,-81
Oswego County At Pulaski Heliport,44,-76
Maxon Field,43,-78
Las Obas Airport,22,-79
Brown STOLport,36,-81
Lackawannock Airport,41,-80
Meharry Ag Service Heliport,40,-87
Moores Airport,44,-75
C M H S Heliport,42,-84
Southern Baptist Hospital Heliport,30,-90
Painesville Airport,42,-81
The Huntsville Hospital Heliport,35,-87
Pbso-West County Jail Heliport,27,-81
Wilson Heliport,40,-75
Edward Getzelman Airport,42,-89
C & W Air Park,33,-85
The Pines Airport,43,-74
Selfridge Angb Airport,43,-83
Salem Airpark Inc Airport,41,-81
Youngstown Warren Regional Airport,41,-81
Middlesboro-Bell County Airport,37,-84
Montgomery Ranch Airport,27,-82
Falcon Station Heliport,43,-71
Husavik Airport,66,-17
Pauls Airport,41,-81
Banjul International Airport,13,-17
Faranah Airport,10,-11
Sussex County Airport,39,-75
Watsontown / Helicopter 1 LLC Heliport,41,-77
Gary Johnson Field,40,-87
Moorhead Airpark LLC,42,-80
Robins Island South Heliport,41,-72
Bull Run Airport,36,-90
Alto Ipare  Heliport,10,-66
Cotuit Heliport,42,-70
Triple M Airport,28,-80
Volk Field,44,-90
Larson Airport,44,-89
Sturgeon Falls (West Nipissing General Hospital) H,46,-80
Augusta State Airport,44,-70
I H Bass Jr Memorial Airport,31,-89
Springfield Southwest Airpark,40,-90
Caye Caulker Airport,18,-88
Brandon Airport,41,-80
Posh Heliport,41,-75
Bridgewater (South Shore Regional Hospital) Helipo,44,-65
Bristol Regional Medical Center Heliport,37,-82
Brandt Heliport,40,-90
Winchell Mountain Airport,42,-74
Paamiut Heliport,62,-50
Fort Benjamin Harrison Hospital Heliport,40,-86
Ikerasassuaq Heliport,60,-43
La Asunción Airport,23,-83
Chattahoochee Air Park,34,-85
Air Tractor Heliport,41,-75
Willoughby Lost Nation Municipal Airport,42,-81
Short Stop Airport,38,-87
Fairholt Airport,44,-73
Carsonville Airport,40,-77
South Weymouth Naval Air Station,42,-71
Waterville / Kings County Municipal Airport,45,-65
Grayce Farms Airport,42,-76
Cornerstone Heliport,42,-88
Brooklandville Heliport,39,-77
Herold Airport,38,-81
Sangster International Airport,19,-78
Bluebird Airport,39,-87
La Cheka Airport,11,-74
Motatan II  Heliport,10,-71
Turner Airport,46,-90
Deepwater Station Heliport,40,-76
Pana Community Hospital Heliport,39,-89
Helfrick Heliport,41,-77
York Airport,43,-80
Mariana Grajales Airport,20,-75
Yonder Airport,35,-78
Norman Rittenhouse Heliport,41,-89
Smith Heliport,34,-84
Garnseys Airport,43,-74
Ovid Airport,43,-77
Veracka Heliport,42,-71
Martin State Airport,39,-76
Wabasis Lake Airport,43,-85
Perry Nuclear Power Plant Heliport,42,-81
Mile Creek Airport,41,-72
Sydney / J.A. Douglas McCurdy Airport,46,-60
Hammond Northshore Regional Airport,31,-90
Mississippi Petrified Forest Airport,33,-90
Highlands Seaplane Base,40,-74
Tinson Pen Airport,18,-77
Manantali Bengassi Airport,13,-11
Lake Wales Heliport,28,-82
Uff-Da Airport,43,-89
Ultralight Port Ultralightport,42,-79
Sunshine Ranchettes Heliport,27,-81
Richardson Airport,40,-90
Hustons Airport,42,-86
Red Stewart Airfield,40,-84
El Rincón De Mucura Airport,10,-76
Vintage Field,36,-84
Highview Farms Airport,37,-79
Brady Heliport,27,-80
Bahnson Airport,36,-81
Melrose Springs Airfield,44,-73
Popeyes Heliport,30,-90
Bafoulabe Airport,14,-11
Stag Air Park,35,-78
Mills Airport,41,-81
Duanesburg Airport,43,-74
Lockheed Martin-Ocala Heliport,29,-82
Mc Kinnon Airpark,31,-87
SanPedro Highway Airstrip,23,-82
Cagney Airport,43,-84
Ensco III  Heliport,10,-72
Shadyside Health Education & Research Corp Helipor,40,-80
Manitowaning Seaplane Base,46,-82
Mayfield Airport,41,-81
Parry Sound Area Municipal Airport,45,-80
Huron County Memorial Airport,44,-83
Baxter-San German Heliport,18,-67
Cool Water Airport,38,-78
Express Heliport,43,-83
Watervliet Municipal Airport,42,-86
Eglin Test Site B6 Airport,31,-87
Abraham Lincoln Memorial Hosp Heliport,40,-89
Lamar Airport,34,-80
